Date,sma_3,sma_5,sma_7,sma_10,sma_15,sma_20,sma_25,sma_30,ema_3,ema_5,ema_7,ema_10,ema_15,ema_20,ema_25,ema_30,atr_3,atr_5,atr_7,atr_10,atr_15,atr_20,atr_25,atr_30,rsi_3,rsi_5,rsi_7,rsi_10,rsi_15,rsi_20,rsi_25,rsi_30,adx_3,adx_5,adx_7,adx_10,adx_15,adx_20,adx_25,adx_30,stoch_k_3,stoch_k_5,stoch_k_7,stoch_k_10,stoch_k_15,stoch_k_20,stoch_k_25,stoch_k_30,stoch_d_3,stoch_d_5,stoch_d_7,stoch_d_10,stoch_d_15,stoch_d_20,stoch_d_25,stoch_d_30
2016-09-16,8159.310000000001,8171.772,8205.455714285714,8237.389,8228.870666666666,8215.0975,8211.739599999999,8216.394333333334,8158.094853449758,8176.991588815666,8190.542938490796,8202.064721013894,8208.632132027693,8207.949159148195,8203.702477422483,8197.517556163395,69.70847493088662,72.55356058741327,73.89251489025953,75.02388361416178,77.06057289164225,79.60294856534637,82.25429057629171,84.82400562138129,17.772297652037047,25.977517893113284,32.54749492692939,38.67190580762667,44.03372344391908,46.7494315670463,48.24063936453599,49.086302462830346,48.58815292340995,31.689688763119285,23.123498938558814,16.018310508918795,10.243790510277524,7.701766631577673,6.648391697430119,6.519683566024269,27.11088209774317,19.668563519017056,33.64785569720067,52.79473299585648,54.776740833060344,58.60854516720741,61.71963120276206,70.65067416900615,26.60189575218796,23.572534693981897,44.96435041780504,59.19969612900633,55.63517309682172,60.16006065613002,64.86096916289237,72.86855595233364
2016-09-19,8170.330000000002,8169.673999999999,8188.385714285714,8225.922999999999,8229.645333333334,8216.9905,8207.3568,8217.29,8176.902426724879,8183.231059210444,8191.834703868097,8200.909317193185,8207.01686552423,8206.783524943605,8203.087671466908,8197.400939636726,72.01898328725785,73.37084846993069,74.28501276307965,75.18549525274562,77.03253469886613,79.45480113707907,82.02971895324005,84.55120543400191,56.807044444256995,49.177515177731934,47.98030871427031,48.445525435431506,49.75350240014062,50.64058795033179,51.13325572414284,51.36515050803143,40.41068364875293,31.13681662177736,23.59436059784922,16.638509819301113,10.680586794321073,7.98320968316461,6.832886945203032,6.638188730682344,49.09137978842053,25.304758802564987,27.202986464002503,46.82483772584965,54.46384428124615,57.84903550503211,59.39951330923974,69.04942974117378,34.82399081681533,21.699227244411507,35.65700039283217,53.917175266296034,55.2297650465984,58.89151702049372,62.07721910608189,70.9927211112498
2016-09-20,8187.896666666667,8182.236,8184.587142857143,8219.242999999999,8229.747333333333,8218.787,8208.240399999999,8217.560666666666,8207.22121336244,8201.33403947363,8203.261027901073,8207.569441339878,8210.832257333703,8209.712713044215,8205.73785058484,8199.990556434357,83.54598885817173,80.01667877594446,78.90143951121105,78.32694572747101,79.00369905227502,80.81206108022509,83.01253019511043,85.2861652528685,70.34165224477329,59.37704340195352,55.57926303275278,53.69977620772035,53.04839136012663,52.9594630347677,52.89081719948433,52.76675669343129,42.630368417705405,28.50041534898355,21.218394962263375,15.0244446838539,10.14719699392526,7.759193354385358,6.715085264211199,6.558364117097362,60.228079399559114,37.250282308091826,29.363830487658042,43.265424053420745,53.74873859944079,57.28265797166508,58.785649289283256,67.75279738243628,45.476780428574266,27.407868209891358,30.07155754962039,47.628331591708935,54.32977457124907,57.91341288130156,59.96826460042837,69.15096709753877
2016-09-21,8219.906666666668,8195.0,8187.482857142857,8209.791000000001,8231.37,8220.119,8211.1472,8218.146333333334,8216.84560668122,8209.71269298242,8209.063270925804,8211.005906550809,8212.78697516699,8211.308645135241,8207.332631309084,8201.69890763214,79.29065923878137,78.1693430207557,77.74123386675242,77.57225115472399,78.45545244879007,80.31045802621387,82.52322898730604,84.80262641110623,62.559861520600336,55.680489820644105,53.180723660356186,52.137311168651664,52.08004807712652,52.27533039075891,52.371561626373314,52.35370079435245,46.76031316401406,27.793244235590503,19.97329436788628,13.976959103922706,9.471902978115935,7.451074425528013,6.543864539051332,6.442497232787396,70.95905511636091,47.829781822101765,33.99797359829993,38.52900861172065,53.75332498092426,56.52286546199677,58.712488298159116,66.52046856338862,60.09283810144684,36.79494097758626,30.18826351665348,42.873090130330326,53.98863595387038,57.21818631289802,58.96588363222738,67.77423189566625
2016-09-22,8257.213333333335,8219.558,8206.468571428572,8209.034,8242.369333333334,8228.4365,8215.8632,8218.529333333332,8262.23780334061,8242.351795321614,8233.704953194352,8228.57392354157,8224.642353271116,8220.482107503312,8215.047813516077,8208.533171655874,86.18377282585463,82.5294744166048,80.91677188578797,79.8120260392517,79.88975561887081,81.29343512490324,83.22109982781384,85.30820553073606,83.10930742314181,71.78064236820593,65.80354344443225,61.308152988229544,58.08953320031892,56.601850841964556,55.69349961899413,55.02392457131143,55.21275364584375,30.607116571654323,20.89360590818229,14.080705546261354,9.307894547038826,7.253249084171847,6.341024078510472,6.229477974592869,71.1042577080565,60.75043918586457,44.580841475567766,39.112321061451,57.856401244370566,58.19634643762919,59.50798193159196,65.94330171185953,67.43046407465881,48.61016777201945,35.9808818538419,40.302251242197435,55.119488274911845,57.333956623763704,59.002039839678126,66.73885588589484
2016-09-23,8268.996666666668,8248.047999999999,8222.217142857142,8209.91,8240.942000000001,8233.664999999999,8221.6876,8217.791000000001,8267.563901670304,8252.531196881077,8243.501214895765,8236.631391988556,8230.673309112226,8225.47333536014,8219.497212476379,8212.685225097432,81.00918188390304,80.15557953328381,79.45151875924681,78.89682343532651,79.27443857761274,80.76176336865807,82.71865583470128,84.81993201304485,61.452985781936555,60.09908631430551,57.99520960715209,56.18780537427658,54.930285031563386,54.38056859774186,54.01374437012687,53.69152268656837,51.3154971612345,30.317105235294303,20.58297260497659,13.704449205513107,8.971896754908283,6.971649076856282,6.090708304879213,6.056358069495467,62.415477645208874,71.66174590228165,53.62988940779554,40.41900117674892,56.362519491942244,58.70932877005134,60.478411774563604,64.98050695360867,68.15959682320874,60.080655636749405,44.069568160554404,39.35344361664016,55.990748572412336,57.809513556559125,59.566294001438244,65.81475907628563
2016-09-26,8248.523333333334,8241.916000000001,8219.39,8205.795,8231.253999999999,8232.713,8221.9756,8213.116666666667,8216.306950835153,8223.370797920717,8223.888411171823,8223.616593445182,8222.470395473198,8219.718731992507,8215.308965362812,8209.611984768566,92.05945458926864,86.95646362662703,84.40987322221153,82.42314109179384,81.60014267243855,82.43167520022516,83.97630960131322,85.79793427927669,27.765035516163266,36.837360281323726,40.56346110515072,43.621909845991006,46.5162578024887,48.19977068197825,49.21409176108583,49.81769228727185,48.21387915818874,28.7166616808132,19.987748688063146,13.637317181315108,9.061368253594315,7.056900289736373,6.1554451310506035,6.0948885973655775,47.52776914028406,60.41572432525211,53.7439024958225,39.17958898960099,51.51861095366567,56.71419113626632,59.38498563252739,62.60935846761006,60.34916816451647,64.27596980446617,50.65154445972859,39.57030374260028,55.24584389665947,57.873288781315644,59.790459779561,64.5110557110261
2016-09-27,8204.453333333335,8229.492,8225.815714285714,8205.864,8222.659333333333,8229.683500000001,8220.928,8211.782333333333,8195.863475417576,8207.387198613813,8211.771308378868,8214.853576455149,8216.589096039048,8215.499805136078,8212.240583411827,8207.40605026737,90.36296972617917,86.95917090130168,84.77560561903849,82.87782698261448,81.95813316094267,82.65859144021391,84.09605721726071,85.83700313663415,33.05824214225761,39.645338753621544,42.502314014159424,44.93762738511194,47.34720907562697,48.788939617947,49.66214320918664,50.17529577471413,52.028933553430306,30.481670162251422,21.203578693409607,14.47456977411737,9.55336666434908,7.364431639023118,6.35852213972421,6.226866712964811,28.509738222593786,50.401290809924035,56.6098369531947,39.81445924951212,47.39516832221405,54.18435602984935,57.947570501729814,61.00960007435502,46.150995002695566,60.826253679152664,54.66120961893756,39.80434980528732,51.75876625594063,56.53595864538903,59.27032263627362,62.8664884985246
2016-09-28,8186.846666666668,8228.212,8229.295714285714,8211.606,8215.931333333332,8230.5805,8221.7376,8213.991333333333,8207.966737708788,8211.614799075876,8213.84598128415,8215.802017099668,8217.024209034167,8215.935061789785,8212.842846226302,8208.223079282378,91.75531315078581,88.47533672104116,86.17051910203284,84.04404428435294,82.79692428354643,83.25266186820316,84.51381492857024,86.12710303207965,54.56234267421861,51.298170975661435,50.597547136285954,50.467816406361734,50.86863480362566,51.299445074182806,51.578151992450174,51.708116022400816,37.533916369427025,24.739925115367733,18.28080388548899,13.302889208170704,9.183447728957715,7.211640868703024,6.282074878482103,6.173910608118879,33.82243107185736,47.22279774453744,57.94933058995377,43.09005492485579,44.05721029477469,53.31165393851527,57.23832625789946,60.43484820470926,36.61997947824506,52.67993762657127,56.10102334632364,40.69470105465627,47.65699652355145,54.73673370154368,58.190294130718904,61.35126891555814
2016-09-29,8186.563333333335,8199.526,8218.81857142857,8209.542,8205.864666666666,8231.6585,8222.654400000001,8213.140333333333,8186.0833688543935,8195.809866050586,8201.434485963113,8206.419832172454,8210.421182904896,8211.0079130479,8209.10108882428,8205.382880619,105.75687543385727,97.53226937683299,92.96901637317104,89.01563985591767,86.19446266464335,85.77802877479303,86.48366233142744,87.71486626434367,34.038960710048435,39.399917632854404,41.97107730816502,44.28412483627295,46.68286739803111,48.187947730567195,49.14019721775925,49.727836357261,35.60566396017604,24.478452490960656,18.447282429889523,13.600713614028972,9.44858465303497,7.405407644642002,6.4200661150084475,6.265138168528502,41.60444224489812,33.94520017595878,50.01807780161261,43.1297091356054,39.90202911104921,53.29309149761004,56.240451567057704,59.05967864335408,34.64553717978308,43.85642957680682,54.85908178158701,42.01140776999108,43.78480257601262,53.59636715532491,57.14211610889567,60.16804230747281
