,ShanghaiSE_china,ftse mib_italy,aex_netherlands,atx_austria,asx200_australia,bfx_belgium,bsesn_india,bux_hungary,djia_united states,cac40_france,ftse100_united kingdom,dax30_germany,s&p500_united states,S&P/TSX_canada,hang seng_hong kong,ibex 35_spain,iseq_ireland,kospi_south korea,nikkei225_japan,omx_sweden,^SSMI_switzerland,russia-moex,poland-wig20,denmark-omxc20,finland-omx helsinki 25,CHFAUD=X,CHFCAD=X,CHFCNY=X,CHFCZK=X,CHFDKK=X,CHFEUR=X,CHFHKD=X,CHFHUF=X,CHFINR=X,CHFKRW=X,CHFNOK=X,CHFPLN=X,CHFSEK=X,CHFUSD=X,JPYCHF=X,NOKCHF=X
2010-01-21,3158.863037109375,22876.0,332.1700134277344,2606.360107421875,4827.2001953125,2484.260009765625,17051.140625,22127.310546875,10389.8798828125,3862.159912109375,5335.10009765625,5746.97021484375,1116.47998046875,11469.099609375,20862.669921875,11444.0,3044.8701171875,1722.010009765625,10868.41015625,954.02001953125,6578.9501953125,1435.9,2470.51,349.69,2059.24,1.0608999729156494,1.0082999467849731,6.540299892425537,17.76099967956543,5.054100036621094,0.6808300018310547,7.460000038146973,184.91000366210938,44.21900177001953,1096.0999755859375,5.583899974822998,2.78410005569458,6.948800086975098,0.9600614309310913,1.151900053024292,17.88800048828125
2010-01-22,3128.587890625,22568.0,329.4800109863281,2581.010009765625,4750.60009765625,2475.81005859375,16859.6796875,21667.390625,10172.98046875,3820.780029296875,5303.0,5695.31982421875,1091.760009765625,11343.400390625,20726.1796875,11373.400390625,3036.93994140625,1684.3499755859375,10590.5498046875,951.0599975585938,6493.9599609375,1410.38,2407.78,346.87,2035.32,1.0645999908447266,1.0151000022888184,6.546899795532227,17.599000930786133,5.052199840545654,0.6789799928665161,7.456200122833252,183.1999969482422,44.38199996948242,1108.199951171875,5.569300174713135,2.7718000411987305,6.938399791717529,0.9598771333694458,1.1576000452041626,17.895999908447266
2010-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,3094.410888671875,22373.0,328.510009765625,2556.530029296875,4717.89990234375,2475.139892578125,16780.4609375,21880.91015625,10196.8603515625,3781.85009765625,5260.2998046875,5631.3701171875,1096.780029296875,11354.5,20598.55078125,11249.2998046875,3016.030029296875,1670.199951171875,10512.6904296875,947.5599975585938,6451.2998046875,1415.86,2417.87,349.86,2031.99,1.062000036239624,1.0161000490188599,6.439199924468994,17.650999069213867,5.059700012207031,0.6794400215148926,7.468800067901611,184.9199981689453,43.74700164794922,1087.0999755859375,5.586100101470947,2.7639999389648438,6.9608001708984375,0.9615384936332703,1.149399995803833,17.858999252319336
2010-01-26,3019.39404296875,22408.0,329.6499938964844,2545.669921875,,2496.449951171875,,21611.25,10194.2900390625,3807.0400390625,5276.89990234375,5668.93017578125,1092.1700439453125,11361.2001953125,20109.330078125,11347.2998046875,3016.530029296875,1637.3399658203125,10325.2802734375,942.9400024414062,6484.22998046875,1384.79,2388.64,348.97,2010.98,1.061900019645691,1.0152000188827515,6.514500141143799,17.67300033569336,5.055099964141846,0.6788399815559387,7.43209981918335,184.00999450683594,43.790000915527344,1108.5999755859375,5.588200092315674,2.765399932861328,6.96120023727417,0.9561143517494202,1.1658999919891357,17.85700035095215
2010-01-27,2986.60693359375,21998.0,327.260009765625,2519.030029296875,4644.60009765625,2493.669921875,16289.8203125,21404.060546875,10236.16015625,3759.800048828125,5217.5,5643.2001953125,1097.5,11344.099609375,20033.0703125,11042.2001953125,2951.06005859375,1625.47998046875,10252.080078125,946.7000122070312,6473.02978515625,1391.25,2373.41,349.61,2022.52,1.0622999668121338,1.0130000114440918,6.500800132751465,17.743999481201172,5.053699970245361,0.6789100170135498,7.405700206756592,184.86000061035156,44.13999938964844,1108.5,5.569499969482422,2.7750000953674316,6.942599773406982,0.9526531100273132,1.1658999919891357,17.92099952697754
2010-01-28,2994.14306640625,21603.0,323.95001220703125,2473.260009765625,4673.2998046875,2486.510009765625,16306.8701171875,21559.359375,10120.4599609375,3688.7900390625,5145.7001953125,5540.330078125,1084.530029296875,11274.2001953125,20356.369140625,10829.2998046875,2948.1298828125,1642.4300537109375,10414.2900390625,937.219970703125,6442.41015625,1406.55,2362.93,350.95,2034.91,1.0633000135421753,1.0132999420166016,6.483099937438965,17.860000610351562,5.067299842834473,0.6806100010871887,7.384200096130371,185.0399932861328,44.0620002746582,1096.300048828125,5.591300010681152,2.7753000259399414,6.993199825286865,0.9507510662078857,1.1705000400543213,17.826000213623047
2010-01-29,2989.2919921875,21896.0,327.8999938964844,2493.530029296875,4569.60009765625,2505.199951171875,16357.9599609375,21831.4609375,10067.330078125,3739.4599609375,5188.5,5608.7900390625,1073.8699951171875,11094.2998046875,20121.990234375,10947.7001953125,2976.25,1602.4300537109375,10198.0400390625,953.7100219726562,6440.72021484375,1419.42,2382.64,354.85,2057.18,1.065600037574768,1.0088000297546387,6.425600051879883,17.797000885009766,5.0609002113342285,0.6799499988555908,7.3165998458862305,184.16000366210938,43.43199920654297,1092.0999755859375,5.579400062561035,2.7444000244140625,6.953800201416016,0.9426848292350769,1.1741000413894653,17.865999221801758
2010-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
